"Transcript","Condition_A","Condition_B"
"TR75473|c1_g3_i2",1.31,0.75
"TR53175|c0_g1_i14",0.37,0.23
"TR155366|c0_g1_i1",0.75,0.76
"TR232127|c0_g1_i1",0.49,0.7
"TR63707|c4_g1_i6",0.15,0
"TR58403|c0_g1_i4",0.64,0.3
"TR229019|c0_g1_i1",0.72,0
"TR56678|c0_g1_i1",0.24,0.04
"TR95685|c1_g2_i1",0.56,1.21
"TR77620|c0_g1_i1",0.99,0
"TR219166|c0_g1_i1",0.63,0.38
"TR48714|c0_g2_i1",0.74,0.62
"TR7388|c0_g3_i2",1.48,1.53
"TR6908|c2_g6_i1",3.99,2.69
"TR22785|c0_g1_i2",0.66,0.34
"TR55842|c0_g1_i1",0.4,0.71
"TR81659|c0_g1_i1",0.34,0.42
"TR146175|c0_g1_i1",1.14,1.42
"TR21002|c0_g2_i5",0.61,1.31
"TR49300|c0_g1_i1",0.29,0.64
"TR123830|c0_g1_i1",0.32,0.47
"TR163385|c0_g1_i1",0.13,0
"TR120103|c0_g2_i1",0.21,0.37
"TR146354|c0_g1_i1",3.31,5.07
"TR110127|c0_g1_i1",0.58,0.61
"TR176590|c0_g1_i1",0.2,0
"TR2945|c0_g5_i1",0.56,0.61
"TR3401|c5_g2_i1",0.35,0.09
"TR21160|c0_g4_i7",14.01,14.39
"TR24940|c0_g1_i1",2,0.61
"TR230567|c0_g1_i1",0.5,0
"TR169435|c0_g1_i1",0.56,0
"TR186929|c0_g1_i1",0.32,0
"TR115020|c0_g1_i1",4.6,3.23
"TR9627|c0_g1_i1",0.84,0.92
"TR56418|c0_g2_i1",0.85,0.43
"TR110910|c0_g1_i1",0.5,0
"TR127678|c0_g1_i1",1.27,1.91
"TR144721|c0_g1_i1",1.21,1.09
"TR88056|c0_g1_i1",6.65,8.73
"TR51950|c0_g1_i1",1.28,0.79
"TR94982|c0_g1_i1",1.38,1.68
"TR3773|c0_g1_i1",0.91,0
"TR232385|c0_g1_i1",0.55,0.59
"TR189141|c0_g1_i1",0.64,0
"TR181323|c0_g1_i1",0.38,0
"TR67426|c0_g1_i3",1.21,0
"TR186675|c0_g1_i1",1.04,1.21
"TR206862|c0_g1_i1",0.7,0.33
"TR164976|c0_g1_i1",0.45,0.96
"TR155519|c0_g1_i1",0.44,0.45
"TR143109|c0_g1_i1",0.54,0.61
"TR169168|c0_g1_i1",0.97,0.51
"TR19825|c0_g2_i2",0.48,0.41
"TR30850|c0_g1_i9",0.97,0.92
"TR80053|c2_g1_i2",1.44,1.18
"TR73560|c1_g3_i5",1.93,1.72
"TR193136|c0_g1_i1",0.75,0.81
"TR69504|c0_g1_i1",0.84,1.54
"TR38104|c0_g1_i3",0.48,0.5
"TR148591|c0_g1_i1",0.21,0.15
"TR219485|c0_g1_i1",0.86,1.89
"TR209068|c0_g1_i1",0.99,2.15
"TR39087|c0_g1_i3",5.58,4.56
"TR149557|c0_g10_i1",0,1.84
"TR73445|c0_g1_i1",0.31,0.22
"TR101667|c0_g1_i1",0.32,0.38
"TR6383|c0_g1_i1",0.99,1.09
"TR39535|c0_g1_i1",1.82,3.16
"TR231569|c0_g1_i1",0.89,1.15
"TR215687|c0_g1_i1",0.46,0.2
"TR37163|c0_g1_i3",0.57,0
"TR159322|c0_g1_i1",0.89,0.02
"TR406|c0_g1_i1",0.57,0.61
"TR55312|c1_g1_i2",1.7,0.55
"TR9574|c0_g2_i1",0.58,0.5
"TR23391|c0_g1_i1",0.57,0.48
"TR68888|c0_g2_i10",1.59,1.76
"TR25254|c1_g1_i1",1.99,2.38
"TR148055|c0_g1_i1",0.6,0
"TR74584|c0_g1_i3",13.34,11.72
"TR50884|c1_g2_i1",1.42,1.58
"TR233671|c0_g1_i1",0.9,0.48
"TR2000|c0_g1_i1",0.31,0
"TR185447|c0_g1_i1",0.63,1.36
"TR74548|c2_g1_i1",0.59,0.53
"TR137008|c0_g2_i1",0.42,0
"TR39956|c0_g1_i1",0.7,0.54
"TR198558|c0_g1_i1",0.9,1.25
"TR234699|c0_g1_i1",0.41,0.58
"TR74728|c0_g1_i1",0.32,0.36
"TR168355|c0_g1_i1",0.6,0
"TR119182|c0_g1_i1",1.93,1.49
"TR83156|c0_g1_i1",0.55,0.89
"TR135928|c0_g2_i1",0.1,0
"TR145894|c0_g1_i4",0.83,0
"TR193523|c0_g1_i1",1.19,0.86
"TR9497|c0_g1_i1",0.53,0
"TR84998|c1_g5_i1",0.22,0
"TR26464|c0_g1_i3",0.48,0.4
"TR226947|c0_g1_i1",0.46,0
"TR52034|c0_g1_i1",1.17,1.7
"TR236109|c0_g1_i1",1.28,0.46
"TR128085|c0_g1_i2",27.22,13.7
"TR16972|c1_g1_i2",0,0.28
"TR38047|c0_g1_i1",0.91,0.94
"TR19940|c0_g1_i1",1.03,0.8
"TR160788|c0_g1_i1",1.15,0.56
"TR11125|c3_g1_i2",0.75,1.53
"TR122922|c0_g1_i1",1.26,2.76
"TR44903|c0_g2_i6",0.28,0.23
"TR199765|c0_g1_i1",0.44,0.48
"TR121417|c0_g1_i1",0.54,0.48
"TR50683|c0_g1_i1",0.99,0
"TR58204|c2_g1_i1",0,5.38
"TR45680|c0_g1_i2",1.82,1.74
"TR38824|c0_g1_i1",0.9,0.39
"TR225120|c0_g1_i1",0.6,1.01
"TR112379|c0_g1_i3",1.2,1.48
"TR77220|c0_g1_i1",0.74,0.8
"TR39359|c0_g1_i2",2.52,1.95
"TR187092|c0_g1_i1",0.37,0
"TR135283|c0_g1_i1",0.59,0.46
"TR173340|c0_g1_i1",1.06,1.56
"TR35101|c0_g1_i1",0.53,0.38
"TR94873|c0_g1_i1",0.37,0.46
"TR232196|c0_g1_i1",0.39,0.35
"TR64807|c0_g1_i1",1.59,1.71
"TR199157|c0_g1_i1",0.56,0
"TR198396|c0_g1_i1",1.47,0.2
"TR101494|c1_g1_i1",0.52,0.37
"TR44947|c6_g5_i1",31.34,34.3
"TR12175|c0_g1_i1",1.39,0.52
"TR118186|c0_g2_i1",0.32,0.35
"TR122940|c0_g2_i1",0.24,0
"TR148532|c0_g1_i1",0.71,0.87
"TR58260|c0_g2_i1",1,0.79
"TR186904|c0_g1_i1",0.66,0
"TR182725|c0_g1_i1",0.7,0.94
"TR24662|c0_g1_i3",37.44,45.97
"TR86672|c0_g1_i4",0,0.5
"TR223110|c0_g1_i1",0.32,0
"TR163407|c0_g1_i1",0.28,0
"TR144515|c0_g1_i1",0.64,0.46
"TR42910|c8_g6_i4",53.19,55.44
"TR59350|c0_g1_i1",0.24,0.26
"TR42919|c0_g1_i1",16.38,1.59
"TR84890|c0_g1_i1",1.33,0.87
"TR38747|c0_g1_i1",0.91,2.07
"TR70011|c0_g1_i2",0.82,1.62
"TR115135|c0_g2_i1",0.01,0.28
"TR27604|c0_g1_i1",0.76,1.1
"TR20732|c0_g3_i5",0.67,0.69
"TR168628|c0_g1_i1",0.8,0
"TR30355|c0_g2_i1",0.59,0.7
"TR97899|c0_g1_i1",0.45,0.98
"TR212291|c0_g2_i1",0.4,0.88
"TR10749|c0_g1_i1",1.17,2.55
"TR17748|c0_g1_i1",0.5,0.79
"TR73781|c2_g3_i2",0,0.54
"TR2411|c8_g1_i1",3.62,3.44
"TR119262|c0_g2_i1",0.38,0
"TR237756|c0_g1_i1",1.06,0.28
"TR17068|c0_g1_i1",0.58,0.52
"TR77712|c0_g1_i1",5.66,6.27
"TR189944|c0_g1_i1",0.51,0.55
"TR11829|c9_g4_i1",0.16,0
"TR79936|c3_g13_i1",0.68,0.88
"TR99958|c0_g1_i1",1.51,2
"TR63293|c0_g2_i2",3.57,2.21
"TR224791|c0_g1_i1",0.31,0
"TR227223|c0_g1_i1",0.47,0.34
"TR25280|c0_g2_i1",0.39,0
"TR156521|c0_g2_i1",0.53,1
"TR86190|c0_g1_i1",3.81,2.92
"TR146214|c0_g2_i1",0.75,0
"TR229729|c0_g1_i1",0.7,1.51
"TR97080|c0_g2_i1",0.81,0
"TR40487|c0_g1_i1",1.23,1
"TR58070|c0_g1_i1",30.33,31.6
"TR22740|c3_g1_i4",0.91,0
"TR189582|c0_g1_i1",0.64,1.19
"TR179209|c0_g1_i1",1.12,0.81
"TR86460|c0_g1_i1",0.23,0.5
"TR30884|c5_g1_i2",0.43,0
"TR184149|c0_g1_i1",0.3,0.65
"TR147771|c0_g1_i1",1.67,3.44
"TR110002|c0_g2_i1",2.67,2.01
"TR114842|c0_g1_i1",0.22,0.14
"TR63928|c10_g2_i1",0.78,0.33
"TR54029|c0_g1_i1",0.78,1.68
"TR63160|c0_g1_i1",0.7,0.21
"TR72381|c0_g1_i1",0.61,1.01
"TR31493|c0_g1_i1",0.51,0.55
"TR217718|c0_g1_i1",1.08,0
"TR72599|c0_g1_i1",0.52,1.14
"TR30460|c3_g7_i6",0.8,1.02
"TR223144|c0_g1_i1",0.45,0
"TR19819|c0_g1_i3",2.21,1.5
"TR9681|c0_g1_i1",0.57,1.22
"TR33853|c0_g5_i1",1.15,1.35
"TR125046|c0_g1_i1",0.56,0.24
"TR80034|c0_g4_i1",0.9,0.91
"TR73556|c0_g1_i21",0.82,0.9
"TR93518|c0_g1_i1",0,0.97
"TR50867|c0_g1_i2",3.09,2.48
"TR130707|c0_g1_i2",5.43,4.53
"TR215273|c0_g1_i1",0.37,0
"TR194431|c0_g1_i1",0.28,0.69
"TR202411|c0_g1_i1",0.71,0.51
"TR74604|c0_g3_i1",0.49,0.33
"TR142424|c0_g1_i1",2.08,2.3
"TR93208|c0_g1_i1",0.49,0
"TR41409|c0_g1_i1",0.44,0.45
"TR191496|c0_g1_i1",0.6,0.48
"TR55773|c0_g1_i1",0.72,0.52
"TR14039|c0_g1_i1",0.41,0
"TR177100|c0_g1_i1",0.87,0
"TR46510|c0_g1_i1",0.65,0.79
"TR37180|c0_g1_i1",0.58,0.9
"TR189209|c0_g1_i1",0.39,0
"TR196808|c0_g1_i1",0.45,0
"TR70132|c0_g1_i1",0.61,1.01
"TR33863|c0_g1_i3",0.26,0.59
"TR8344|c0_g1_i1",0.33,0
"TR228881|c0_g1_i1",0.7,0.84
"TR133304|c0_g1_i1",0.17,0
"TR115110|c0_g1_i1",1.29,1.32
"TR103231|c0_g1_i1",0.6,0.77
"TR50400|c0_g1_i1",0.78,1.12
"TR220922|c0_g1_i1",0.65,1.4
"TR30088|c0_g1_i3",1.39,2.71
"TR48203|c12_g1_i1",0.41,0.58
"TR235877|c0_g1_i1",0.71,0.51
"TR2357|c8_g3_i1",0.53,1.16
"TR47880|c0_g1_i1",0.6,0.87
"TR235840|c0_g1_i1",0.33,0.71
"TR93560|c0_g1_i1",0.54,0.82
"TR140477|c0_g1_i1",0.2,0
"TR153511|c0_g1_i4",0.29,0
"TR74488|c0_g1_i1",0.32,0
"TR55777|c0_g1_i1",0.24,0.51
"TR115552|c0_g1_i1",1.32,1.97
"TR60744|c0_g1_i1",0.89,0.77
"TR13563|c0_g2_i3",0.34,0.19
"TR30867|c2_g11_i3",21.6,20.46
"TR876|c0_g1_i1",0.38,0.41
"TR30518|c0_g1_i6",1.14,1.82
"TR24826|c0_g1_i1",0.3,0
"TR183366|c0_g1_i1",0.79,0.18
"TR238051|c0_g1_i1",0.94,0.76
"TR21144|c0_g1_i3",0.03,0
"TR178837|c0_g1_i1",0.44,0
"TR63925|c0_g1_i5",0.13,0
"TR81971|c1_g1_i3",0.32,0.34
"TR14033|c0_g1_i1",1.13,0
"TR226336|c0_g1_i1",6.2,5.85
"TR91448|c0_g1_i1",0.82,0.9
"TR52332|c0_g1_i1",0.38,0.82
"TR114333|c0_g1_i1",0.43,0
"TR8287|c3_g1_i1",0.91,1.09
"TR4908|c0_g1_i1",1.35,0.87
"TR139948|c0_g1_i1",0.47,0.67
"TR161794|c3_g1_i1",1.14,0.78
"TR72660|c0_g3_i7",0.02,0
"TR4902|c0_g1_i1",0.78,0.42
"TR165767|c0_g1_i1",0.61,0
"TR88455|c0_g1_i1",0.53,0.84
"TR136068|c0_g1_i1",0.48,0
"TR158321|c0_g2_i3",5.25,3.38
"TR168446|c0_g1_i1",0.68,0.98
"TR104418|c0_g2_i1",0,0.05
"TR196175|c0_g1_i1",0.29,0.62
"TR110490|c0_g1_i1",0.37,0.81
"TR235736|c0_g1_i1",0.81,0.88
"TR46735|c1_g3_i1",0.88,1.14
"TR76931|c1_g1_i1",0.15,0
"TR77391|c0_g2_i2",0.32,0
"TR165383|c0_g1_i1",0.35,0.25
"TR192319|c0_g1_i1",0.65,0.35
"TR68179|c2_g4_i1",0.38,0
"TR28809|c1_g11_i1",15.02,13.87
"TR187334|c0_g1_i1",0.84,0
"TR59674|c0_g1_i1",0.69,0.75
"TR72581|c0_g2_i1",1.21,1.57
"TR208384|c0_g1_i1",1.03,0
"TR132836|c0_g2_i1",0.3,0
"TR73348|c0_g1_i1",0.75,1.64
"TR91950|c0_g1_i1",0.46,0.98
"TR128465|c0_g1_i1",1.72,2.5
"TR129873|c0_g2_i3",0,0.59
"TR6630|c0_g1_i1",0.77,0.77
"TR5736|c0_g2_i1",0.44,0.46
"TR82834|c0_g4_i4",0.66,0.71
"TR74658|c1_g4_i2",0.46,0.5
"TR55311|c8_g9_i2",3.47,1.54
"TR15177|c0_g1_i1",0.38,0
"TR229791|c0_g1_i1",0.47,1.03
"TR4898|c0_g1_i1",0.93,0.67
"TR270|c0_g1_i1",0.59,0.4
"TR193314|c0_g1_i1",0.71,0
"TR57757|c1_g1_i6",0.28,0.46
"TR131467|c0_g2_i1",0.21,0
"TR174828|c0_g1_i1",1.38,1.92
"TR223438|c0_g1_i1",0.39,0.42
"TR104808|c1_g1_i1",0.53,1.37
"TR78496|c0_g1_i8",0,0.32
"TR82988|c0_g1_i3",0.56,1.08
"TR115225|c0_g1_i1",0.8,0
"TR48448|c0_g6_i3",2.85,2.71
"TR39933|c0_g1_i3",0.2,0.47
"TR3377|c1_g7_i1",0.31,0
"TR108944|c0_g1_i1",0.72,0.76
"TR60349|c0_g1_i1",0.47,0.59
"TR58618|c0_g1_i2",0.61,0
"TR3577|c0_g1_i1",0.33,0.65
"TR61552|c0_g1_i1",0.93,0
"TR115170|c0_g1_i1",0.36,0.42
"TR14610|c0_g2_i1",1.28,2.35
"TR154030|c0_g1_i1",0.55,0.32
"TR49737|c0_g1_i1",0.89,0.97
"TR76383|c0_g1_i1",0.32,0.68
"TR30340|c1_g7_i1",0.14,0.71
"TR189262|c0_g1_i1",0.69,0.37
"TR62448|c0_g1_i1",0.87,0.62
"TR34179|c0_g1_i2",0.9,0
"TR190141|c0_g1_i1",0.61,1.32
"TR71508|c0_g2_i1",2.87,1.79
"TR63724|c3_g1_i1",0.16,0.22
"TR21078|c2_g1_i5",0.61,0.83
"TR237361|c0_g1_i1",1.27,0
"TR103045|c0_g1_i1",0.72,0
"TR72629|c0_g6_i19",1.36,0
"TR119706|c0_g1_i1",0.84,1.02
"TR145361|c0_g1_i1",0.3,0.65
"TR149240|c0_g1_i1",0.62,0.36
"TR29314|c0_g3_i1",1.1,2.37
"TR108530|c0_g1_i1",0.44,0
"TR139116|c0_g1_i1",0.78,0.56
"TR43370|c0_g1_i1",0.14,0.27
"TR8762|c0_g1_i1",0.5,1.1
"TR62605|c0_g2_i1",0.78,0.42
"TR128368|c0_g1_i1",0.95,0.67
"TR124546|c1_g1_i1",0.73,0.88
"TR160365|c0_g1_i1",0.25,0.58
"TR188052|c0_g1_i1",1.06,1.87
"TR223962|c0_g1_i1",0.23,0.33
"TR69106|c0_g1_i1",3.19,3.91
"TR22808|c0_g3_i3",0.14,0
"TR130075|c0_g1_i1",1.43,2.06
"TR81002|c0_g3_i1",0.84,0
"TR185500|c0_g1_i1",0.36,0.3
"TR165261|c0_g1_i1",1.28,1.57
"TR101556|c1_g1_i1",0.59,1.14
"TR167431|c0_g1_i1",0.28,0
"TR118448|c0_g2_i1",0.9,0
"TR104866|c0_g1_i1",0.54,1.15
"TR220135|c0_g1_i1",0.68,1.35
"TR69355|c0_g1_i1",0.23,0.49
"TR199629|c0_g1_i1",0.73,1.18
"TR84516|c0_g2_i1",0.38,0.2
"TR58619|c0_g2_i2",1.29,0.69
"TR25337|c0_g1_i2",1.19,2.51
"TR46367|c0_g1_i1",1.16,1.42
"TR26362|c0_g3_i5",0,5.2
